Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.939214e-01      2.958054e-01      5.321943e-02
    k3            2.016128e-01      2.069178e-01      3.823833e-02
    e3            1.560944e-01      1.474156e-01      2.718857e-02
    c1            1.270756e-01      1.323950e-01      1.881528e-02
     r            2.881374e-02      3.746745e-02      8.136830e-03
    k4            2.734198e-02      3.719552e-02      6.180758e-03
    e2            3.766334e-02      3.661416e-02      7.192539e-03
    d2            3.820713e-02      3.651897e-02      6.837819e-03
    c2            1.350875e-02      1.686839e-02      3.338956e-03
    u3            1.505370e-02      1.604156e-02      3.033555e-03
    a1            1.788626e-02      1.300659e-02      2.547523e-03
    u1            9.240805e-03      7.369866e-03      1.499032e-03
    k2            8.725906e-03      7.280463e-03      1.277156e-03
    c3            6.641959e-03      7.123649e-03      1.413379e-03
    b1            6.523274e-03      5.061506e-03      1.084531e-03
    k1           -3.043389e-03      2.964299e-03      5.618677e-04
    a2            5.835039e-04      7.526714e-04      1.381257e-04
    b2            1.494834e-04      2.112873e-04      4.553093e-05
    e1            2.205160e-04      6.339487e-05      1.225636e-05
    d1            5.858465e-05      9.677389e-07      2.470827e-07
    u2           -2.077467e-11      2.049432e-16      4.112243e-17
   sig           -4.819985e-13      1.623811e-20      1.375545e-20
