Params,Sobol First Order (S1),Sobol Total (ST),Sobol Total Conf,High Accuracy,Below Relative Cutoff,N
k3,0.27002,0.234311,0.2673691,--,No,4
k5,0.490823,0.2108807,0.1435846,--,No,4
e3,0.127944,0.1083912,0.1155631,--,No,4
c1,0.190205,0.06174104,0.05799727,--,No,4
c2,0.078306,0.04621903,0.0354606,--,No,4
k1,0.074539,0.04505988,0.03156439,--,No,4
a1,0.062209,0.03800516,0.04295515,--,No,4
r,0.029982,0.02412375,0.03479536,--,No,4
d2,0.145264,0.02378619,0.02555196,--,No,4
e2,0.04154,0.02335709,0.01968402,--,No,4
k4,0.035052,0.0211638,0.01952525,--,No,4
a2,-0.001769,0.0008506395,0.0008464925,--,Yes,4
sig,0.002285,0.0001991005,0.000121592,--,Yes,4
k2,-0.003218,0.0001560956,0.0001004778,--,Yes,4
b1,0.000554,8.171623e-05,6.999882e-05,--,Yes,4
e1,-0.001259,2.495523e-05,2.524966e-05,--,Yes,4
c3,0.001097,2.253895e-05,1.964822e-05,--,Yes,4
b2,-0.002501,1.50931e-05,1.369802e-05,--,Yes,4
sig2,0.000607,3.727746e-06,3.108443e-06,--,Yes,4
d1,-0.000443,2.25939e-07,2.143548e-07,--,Yes,4
k3,0.319679,0.2725495,0.08918002,--,No,6
k5,0.245364,0.2671695,0.1087022,--,No,6
e3,0.114393,0.1217383,0.04631417,--,No,6
c1,0.079359,0.07864265,0.0314087,--,No,6
k1,-0.021759,0.06417309,0.02914524,--,No,6
c2,0.051257,0.06190769,0.02153239,--,No,6
a1,0.048703,0.04807996,0.02276625,--,No,6
d2,-0.046052,0.03339273,0.01754184,--,No,6
k4,0.022261,0.03155146,0.01339357,--,No,6
r,0.064103,0.03015834,0.01025081,--,No,6
e2,0.034726,0.02913952,0.01459387,--,No,6
a2,-0.000432,0.0009624532,0.0004014685,--,Yes,6
k2,0.000683,0.0002005437,7.768676e-05,--,Yes,6
sig,-0.001511,0.0001296331,5.652021e-05,--,Yes,6
b1,-0.001079,8.883278e-05,4.473206e-05,--,Yes,6
c3,-0.000633,2.393427e-05,9.873348e-06,--,Yes,6
b2,-0.000543,2.329697e-05,9.422305e-06,--,Yes,6
e1,0.000346,2.287407e-05,1.033394e-05,--,Yes,6
sig2,0.000108,3.947067e-06,1.831495e-06,--,Yes,6
d1,0.000165,3.792112e-07,1.678413e-07,--,Yes,6
k3,0.246304,0.3023366,0.05485232,--,No,8
k5,0.216109,0.2607496,0.04349136,--,No,8
e3,0.131139,0.1319714,0.02619344,--,No,8
c1,0.083568,0.08709462,0.01675012,--,No,8
k1,0.06284,0.06384246,0.01361484,--,No,8
c2,0.049535,0.06134349,0.01064116,--,No,8
a1,0.048969,0.04934733,0.009356512,--,No,8
r,0.032733,0.03245837,0.006126692,--,No,8
e2,0.029028,0.03231861,0.007019333,--,No,8
k4,0.035254,0.03184648,0.005932646,--,No,8
d2,0.031308,0.03095338,0.005976898,--,No,8
a2,0.000773,0.0009603227,0.0001884402,--,Yes,8
k2,-0.000206,0.000214768,4.767073e-05,--,Yes,8
sig,-0.000143,0.0001672229,3.449029e-05,--,Yes,8
b1,0.000101,0.0001007983,2.331896e-05,--,Yes,8
c3,9.7e-05,2.780848e-05,5.440477e-06,--,Yes,8
e1,-5.5e-05,2.478979e-05,4.62699e-06,--,Yes,8
b2,0.000264,2.471708e-05,6.602124e-06,--,Yes,8
sig2,-2.5e-05,4.760735e-06,1.016759e-06,--,Yes,8
d1,-1e-05,4.003876e-07,1.089783e-07,--,Yes,8
k3,0.272741,0.2839005,0.02753887,Yes,No,10
k5,0.247829,0.2445944,0.02028057,Yes,No,10
e3,0.118959,0.1258456,0.01015259,Yes,No,10
c1,0.078457,0.07928641,0.006947384,Yes,No,10
k1,0.05887,0.05984378,0.006251456,--,No,10
c2,0.054183,0.05827679,0.005986925,--,No,10
a1,0.043229,0.04580306,0.003632933,Yes,No,10
d2,0.030839,0.03169195,0.003233394,--,No,10
k4,0.032024,0.03033289,0.002891111,Yes,No,10
e2,0.026592,0.03016683,0.002848725,Yes,No,10
r,0.029128,0.03013966,0.002721041,Yes,No,10
a2,0.000277,0.0009548128,8.758343e-05,Yes,Yes,10
k2,0.000149,0.0002079341,1.928641e-05,Yes,Yes,10
sig,0.000115,0.0001550264,1.411333e-05,Yes,Yes,10
b1,0.000168,9.34513e-05,8.684139e-06,Yes,Yes,10
c3,-3.3e-05,2.592576e-05,2.564679e-06,Yes,Yes,10
e1,1.2e-05,2.320928e-05,1.825789e-06,Yes,Yes,10
b2,3e-06,2.300885e-05,2.271137e-06,Yes,Yes,10
sig2,4.5e-05,4.195245e-06,3.670806e-07,Yes,Yes,10
d1,7e-06,3.320592e-07,3.155964e-08,Yes,Yes,10
k3,0.273387,0.2767012,0.0143276,Yes,No,12
k5,0.239979,0.2437926,0.01067177,Yes,No,12
e3,0.123883,0.1248494,0.006081535,Yes,No,12
