for each of the sample sizes get sensitivity values

2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            3.326564e-01      5.172591e-01      3.192244e-01
    k3            3.073902e-01      3.992754e-01      2.107201e-01
    e3            4.075061e-02      1.996237e-01      1.138181e-01
    k1            2.727990e-01      1.858411e-01      7.904298e-02
    c1            9.315320e-02      9.481499e-02      5.416677e-02
    c2            2.226988e-01      8.348712e-02      5.314641e-02
    a1            1.548597e-01      6.592561e-02      5.227083e-02
     r            9.980650e-02      5.769165e-02      3.624955e-02
    d2           -8.451528e-02      5.649699e-02      4.329805e-02
    k4           -4.178590e-02      4.980862e-02      3.079382e-02
    e2           -1.023354e-01      3.992469e-02      2.554003e-02
    c3            3.925388e-02      8.875707e-03      7.126818e-03
    k2            5.130839e-02      8.679967e-03      6.614403e-03
    a2           -4.219135e-02      6.404781e-03      3.411500e-03
    b1            1.538609e-02      3.176486e-03      1.847053e-03
    b2           -2.284591e-02      9.131714e-04      7.778497e-04
    e1           -4.954433e-03      2.738055e-05      1.997378e-05
    d1            1.317638e-05      3.975656e-07      2.675139e-07
   sig           -3.197976e-11      1.173607e-20      2.165948e-20

2^6: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            3.610256e-01      2.869362e-01      1.098969e-01
    k3            2.569162e-01      2.727077e-01      1.287738e-01
    e3            1.046477e-01      1.248353e-01      4.946033e-02
    c1            7.227878e-02      5.702743e-02      2.681357e-02
    k1            7.749767e-02      5.493890e-02      1.755025e-02
    c2            3.340620e-02      4.609914e-02      1.521793e-02
    a1           -7.177264e-03      3.608134e-02      1.431958e-02
     r           -2.643728e-02      3.201417e-02      1.492891e-02
    k4            2.800568e-02      3.037316e-02      1.099523e-02
    d2            1.540818e-02      2.848230e-02      1.331001e-02
    e2            2.253406e-02      2.699254e-02      1.301832e-02
    k2           -1.307072e-02      5.476803e-03      1.829610e-03
    c3            9.961642e-03      5.209747e-03      1.969592e-03
    a2           -1.190339e-03      2.379154e-03      8.494833e-04
    b1            1.218085e-02      2.046434e-03      1.024921e-03
    b2            2.154182e-03      5.995163e-04      2.680948e-04
    e1            4.544865e-04      1.582097e-05      6.383795e-06
    d1            8.826962e-05      2.812622e-07      1.201005e-07
   sig           -1.363273e-10      3.101486e-19      6.083796e-19

2^8: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.753802e-01      2.706000e-01      5.434140e-02
    k5            2.709072e-01      2.694732e-01      5.603879e-02
    e3            1.111622e-01      1.198225e-01      2.454283e-02
    k1            4.826512e-02      5.776662e-02      1.288530e-02
    c1            5.505450e-02      5.482006e-02      1.216094e-02
    c2            4.838610e-02      4.692052e-02      1.002786e-02
    a1            3.205500e-02      3.740683e-02      7.778021e-03
    k4            2.536642e-02      3.059734e-02      7.341426e-03
    d2            3.051644e-02      2.966323e-02      6.709415e-03
     r            3.282000e-02      2.917452e-02      6.067142e-03
    e2            2.579388e-02      2.907459e-02      6.417810e-03
    c3            4.151443e-03      5.018045e-03      1.035375e-03
    k2            9.167779e-04      4.859096e-03      1.103299e-03
    a2            2.712931e-03      2.250390e-03      4.709806e-04
    b1            1.214025e-03      2.055301e-03      4.674698e-04
    b2            4.974273e-04      6.162859e-04      1.262277e-04
    e1            4.220904e-05      1.579503e-05      3.549307e-06
    d1           -4.940495e-05      2.523946e-07      5.712442e-08
   sig            7.158268e-11      2.524152e-18      2.841882e-18

2^10: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.761186e-01      2.776383e-01      2.318035e-02
    k3            2.743326e-01      2.760079e-01      2.632527e-02
    e3            1.190518e-01      1.225357e-01      1.179717e-02
    k1            5.792377e-02      5.961846e-02      4.957849e-03
    c1            5.272986e-02      5.491186e-02      5.479244e-03
    c2            4.634087e-02      4.775307e-02      4.294699e-03
    a1            3.598808e-02      3.808382e-02      3.618055e-03
    k4            3.027584e-02      3.050003e-02      3.148243e-03
     r            3.213691e-02      3.021282e-02      3.111720e-03
    e2            2.798597e-02      2.989429e-02      2.998261e-03
    d2            2.752289e-02      2.961808e-02      3.039757e-03
    k2            5.582513e-03      4.950706e-03      4.701635e-04
    c3            4.703248e-03      4.728729e-03      5.044438e-04
    a2            2.052694e-03      2.112894e-03      2.296121e-04
    b1            2.442885e-03      2.074328e-03      2.007973e-04
    b2            3.256264e-04      6.150633e-04      6.449259e-05
    e1           -1.382132e-06      1.597138e-05      1.588703e-06
    d1           -2.374382e-06      2.490084e-07      2.594487e-08
   sig            2.224610e-11      5.695187e-17      1.118895e-16

2^12: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.737513e-01      2.792130e-01      1.243352e-02
    k3            2.708956e-01      2.761452e-01      1.228897e-02
    e3            1.198429e-01      1.225491e-01      6.178440e-03
    k1            5.891773e-02      5.979546e-02      2.795263e-03
    c1            5.336693e-02      5.543354e-02      2.424660e-03
    c2            4.601768e-02      4.713761e-02      2.193224e-03
    a1            3.736831e-02      3.819584e-02      2.109299e-03
    k4            2.967106e-02      3.058832e-02      1.445157e-03
    e2            2.849213e-02      3.005038e-02      1.571165e-03
     r            2.847277e-02      2.991939e-02      1.392549e-03
    d2            2.847747e-02      2.979127e-02      1.418857e-03
    k2            5.355493e-03      5.011346e-03      2.664389e-04
    c3            4.611887e-03      4.916675e-03      2.469354e-04
    a2            2.136997e-03      2.209589e-03      1.071349e-04
    b1            2.099661e-03      2.078211e-03      8.756440e-05
    b2            7.615425e-04      6.158575e-04      3.183027e-05
    e1            1.554787e-05      1.603658e-05      8.096100e-07
    d1            4.427642e-06      2.577477e-07      1.570408e-08
   sig           -3.011493e-11      3.969228e-18      3.171267e-18

2^14: ------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.731167e-01      2.789406e-01      6.005549e-03
    k3            2.697517e-01      2.754317e-01      5.544732e-03
    e3            1.199459e-01      1.223566e-01      2.777208e-03
    k1            5.787867e-02      5.974522e-02      1.535819e-03
    c1            5.438607e-02      5.504155e-02      1.244460e-03
    c2            4.578800e-02      4.744097e-02      1.200859e-03
    a1            3.687105e-02      3.819441e-02      9.320619e-04
    k4            2.922346e-02      3.048670e-02      7.109843e-04
    e2            2.900988e-02      2.993944e-02      7.306758e-04
     r            2.861241e-02      2.991842e-02      6.917588e-04
    d2            2.858350e-02      2.976295e-02      7.089062e-04
    k2            5.059899e-03      5.000080e-03      1.344571e-04
    c3            4.797075e-03      4.913814e-03      1.214816e-04
    a2            2.122517e-03      2.207220e-03      5.203864e-05
    b1            1.981501e-03      2.075355e-03      4.333732e-05
    b2            6.214780e-04      6.132697e-04      1.481734e-05
    e1            1.544810e-05      1.601661e-05      3.586349e-07
    d1            2.212635e-06      2.617282e-07      7.750022e-09
   sig            1.987796e-08      2.162596e-12      3.206802e-12

2^16: ------------------------------------------------------------

