for each of the sample sizes get sensitivity values

2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            2.910272e-01      4.690061e-01      2.848470e-01
    k3            3.325051e-01      4.227757e-01      2.561463e-01
    e3            4.959403e-02      2.131046e-01      1.352303e-01
    k1            2.767105e-01      1.925263e-01      9.103401e-02
    c1            9.365755e-02      1.012035e-01      5.554620e-02
    c2            2.305881e-01      8.781849e-02      6.906203e-02
    a1            1.628387e-01      6.991538e-02      5.692154e-02
     r            1.073436e-01      6.103049e-02      3.931096e-02
    d2           -8.270406e-02      5.915397e-02      5.477227e-02
    k4           -4.388809e-02      5.179623e-02      3.500416e-02
    e2           -1.059492e-01      4.226596e-02      2.707824e-02
    c3            3.942634e-02      9.427728e-03      7.778559e-03
    k2            5.294115e-02      9.255562e-03      8.593786e-03
    a2           -4.523035e-02      6.755117e-03      3.807286e-03
    b1            1.492680e-02      3.416484e-03      1.963401e-03
    b2           -2.423837e-02      9.701981e-04      8.625912e-04
    e1           -4.984317e-03      2.944722e-05      2.353233e-05
    d1           -4.405771e-05      5.977139e-07      5.180557e-07
   sig           -2.176849e-11      9.956112e-20      2.340885e-19

2^6: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.698266e-01      2.847610e-01      1.095050e-01
    k5            3.272213e-01      2.572608e-01      9.994566e-02
    e3            1.096445e-01      1.309609e-01      5.683869e-02
    c1            7.543407e-02      6.000662e-02      2.546802e-02
    k1            8.066750e-02      5.580824e-02      1.905786e-02
    c2            3.501432e-02      4.806099e-02      1.793277e-02
    a1           -7.866288e-03      3.747181e-02      1.329330e-02
     r           -2.846613e-02      3.308596e-02      1.404127e-02
    k4            2.930445e-02      3.103697e-02      1.075388e-02
    d2            1.551885e-02      2.970263e-02      1.311102e-02
    e2            2.464125e-02      2.815007e-02      1.153666e-02
    k2           -1.359567e-02      5.729331e-03      2.105436e-03
    c3            1.035939e-02      5.444845e-03      1.907393e-03
    a2           -1.320083e-03      2.469986e-03      9.054391e-04
    b1            1.274744e-02      2.154279e-03      9.201961e-04
    b2            2.191743e-03      6.246898e-04      2.751103e-04
    e1            4.905344e-04      1.675254e-05      6.047839e-06
    d1            2.525004e-05      2.591803e-07      9.707048e-08
   sig            1.136120e-11      6.210237e-20      9.484402e-20
2^8: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.858268e-01      2.817681e-01      5.727144e-02
    k5            2.429908e-01      2.412119e-01      4.752480e-02
    e3            1.167235e-01      1.255694e-01      2.666936e-02
    k1            4.875167e-02      5.883532e-02      1.275369e-02
    c1            5.792502e-02      5.758015e-02      1.321677e-02
    c2            4.998387e-02      4.861209e-02      1.055169e-02
    a1            3.336094e-02      3.875366e-02      9.040972e-03
    k4            2.562203e-02      3.121207e-02      7.904996e-03
    d2            3.137155e-02      3.072777e-02      6.484878e-03
     r            3.362398e-02      3.022252e-02      6.566609e-03
    e2            2.678261e-02      3.011146e-02      6.696008e-03
    c3            4.377404e-03      5.249180e-03      1.262211e-03
    k2            1.045665e-03      5.114370e-03      1.334865e-03
