for each of the sample sizes get sensitivity values
2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3                0.269051      2.335275e-01      2.301086e-01
    k5                0.490189      2.103668e-01      1.229844e-01
    e3                0.126381      1.080297e-01      1.369205e-01
    c1                0.191590      6.269578e-02      5.423878e-02
    c2                0.078048      4.690673e-02      4.144448e-02
    k1                0.076414      4.552490e-02      3.754863e-02
    a1                0.062570      3.839098e-02      4.131879e-02
     r                0.029316      2.402318e-02      2.460895e-02
    d2                0.144581      2.369813e-02      2.143080e-02
    e2                0.041649      2.322695e-02      2.028348e-02
    k4                0.035550      2.114797e-02      1.794756e-02
    a2               -0.001759      8.595114e-04      7.442187e-04
   sig                0.002265      2.012048e-04      1.159591e-04
    k2               -0.002769      1.261341e-04      8.083721e-05
    b1                0.000605      6.527456e-05      7.225529e-05
    e1               -0.001280      2.532920e-05      2.826610e-05
    b2               -0.002166      1.143461e-05      9.855710e-06
    d1               -0.000464      2.461539e-07      1.834851e-07
    c3                0.000069      9.183655e-08      7.156412e-08
  sig2                0.000039      1.518755e-08      1.207134e-08
2^6: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3                0.318667      2.717634e-01      1.058351e-01
    k5                0.243629      2.659704e-01      9.031435e-02
    e3                0.114163      1.211784e-01      5.711888e-02
    c1                0.080269      7.975228e-02      3.707401e-02
    k1               -0.021431      6.483350e-02      2.787785e-02
    c2                0.052333      6.280243e-02      2.501476e-02
    a1                0.049477      4.856828e-02      1.884544e-02
    d2               -0.045384      3.325524e-02      1.563530e-02
    k4                0.022123      3.140893e-02      1.512130e-02
     r                0.063814      3.003688e-02      1.025895e-02
    e2                0.034535      2.903906e-02      1.142679e-02
    a2               -0.000388      9.714522e-04      4.147525e-04
    k2                0.000501      1.599989e-04      7.632506e-05
   sig               -0.001528      1.308342e-04      5.511957e-05
    b1               -0.000970      6.487357e-05      3.454057e-05
    e1                0.000356      2.317799e-05      1.055010e-05
    b2               -0.000493      1.751819e-05      7.964116e-06
    d1                0.000143      3.522621e-07      1.837901e-07
    c3               -0.000042      9.745790e-08      4.646277e-08
  sig2                0.000007      1.606706e-08      7.814223e-09
2^8: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3                0.245463      3.013604e-01      4.981825e-02
