for each of the sample sizes get sensitivity values

2^4: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            3.324647e-01      5.172885e-01      3.576683e-01
    k3            3.073842e-01      3.992311e-01      2.075989e-01
    e3            4.065402e-02      1.996194e-01      1.052984e-01
    k1            2.726058e-01      1.858128e-01      9.355265e-02
    c1            9.315275e-02      9.481663e-02      4.693956e-02
    c2            2.229514e-01      8.358298e-02      5.707726e-02
    a1            1.549216e-01      6.596387e-02      4.674612e-02
     r            9.981880e-02      5.769299e-02      3.254890e-02
    d2           -8.432019e-02      5.642673e-02      5.835398e-02
    k4           -4.182568e-02      4.981168e-02      2.636994e-02
    e2           -1.022835e-01      3.992535e-02      2.698820e-02
    c3            3.923975e-02      8.876378e-03      6.246860e-03
    k2            5.142875e-02      8.698722e-03      6.984484e-03
    a2           -4.210183e-02      6.419946e-03      3.561838e-03
    b1            1.550126e-02      3.159100e-03      1.771195e-03
    b2           -2.288595e-02      9.082493e-04      7.814533e-04
    e1           -4.954117e-03      2.738058e-05      2.479215e-05
    d1            1.555251e-04      3.761761e-07      2.648055e-07
   sig           -9.221277e-12      9.249171e-22      9.425059e-22

2^6: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k5            3.610237e-01      2.869495e-01      1.088617e-01
    k3            2.568365e-01      2.726747e-01      1.000655e-01
    e3            1.045519e-01      1.247840e-01      6.057325e-02
    c1            7.223228e-02      5.700392e-02      2.606425e-02
    k1            7.748770e-02      5.488212e-02      2.117844e-02
    c2            3.344876e-02      4.611036e-02      1.795424e-02
    a1           -7.195935e-03      3.608946e-02      1.507130e-02
     r           -2.640633e-02      3.200774e-02      1.529669e-02
    k4            2.792807e-02      3.033565e-02      9.215106e-03
    d2            1.541563e-02      2.850129e-02      1.396877e-02
    e2            2.254315e-02      2.698922e-02      1.133323e-02
    k2           -1.312077e-02      5.489687e-03      2.040050e-03
    c3            9.966702e-03      5.204203e-03      1.934390e-03
    a2           -1.182875e-03      2.379175e-03      9.207290e-04
    b1            1.213820e-02      2.054601e-03      8.994917e-04
    b2            2.156437e-03      6.007092e-04      2.565397e-04
    e1            4.547505e-04      1.581913e-05      7.002870e-06
    d1            6.425548e-05      2.233256e-07      8.750709e-08
   sig            3.989315e-12      4.182511e-22      2.819031e-22

2^8: -------------------------------------------------------------
Params  Sobol First Order (S1)  Sobol Total (ST)  Sobol Total Conf
    k3            2.753978e-01      2.707002e-01      4.490005e-02
