Params,Sobol First Order (S1),Sobol Total (ST),Sobol Total Conf,High Accuracy,Below Relative Cutoff,N
k5,0.235549,0.4054342,0.2843344,--,No,4
k3,0.308586,0.3663667,0.1967519,--,No,4
e3,0.072544,0.1846394,0.1197112,--,No,4
k1,0.24315,0.1681741,0.07134092,--,No,4
c1,0.155597,0.1237719,0.05546264,--,No,4
c2,0.210209,0.09218435,0.07840998,--,No,4
a1,0.165219,0.07022188,0.05298996,--,No,4
d2,-0.072248,0.05341525,0.04641802,--,No,4
k4,-0.089093,0.04323989,0.02875523,--,No,4
e2,-0.089305,0.0369888,0.03862278,--,No,4
a2,-0.028522,0.002512829,0.001173353,--,Yes,4
k2,0.012723,0.0003120057,0.0002368109,--,Yes,4
sig,0.010724,0.0002537114,0.0001436122,--,Yes,4
b1,0.005204,0.0001349885,6.640234e-05,--,Yes,4
c3,0.003082,4.403284e-05,2.999481e-05,--,Yes,4
e1,-0.004759,3.58081e-05,2.92511e-05,--,Yes,4
b2,-0.004105,2.458124e-05,2.468386e-05,--,Yes,4
sig2,-0.000465,7.792009e-06,6.173633e-06,--,Yes,4
d1,0.000119,4.488945e-07,3.434691e-07,--,Yes,4
k3,0.264605,0.2884408,0.09899311,--,No,6
k5,0.323998,0.2622712,0.1064239,--,No,6
e3,0.100914,0.1335851,0.05494592,--,No,6
c1,0.094887,0.08576525,0.04236232,--,No,6
c2,0.04246,0.0582052,0.02215325,--,No,6
k1,0.074941,0.05649015,0.01788755,--,No,6
a1,-0.00531,0.04521143,0.01628487,--,No,6
k4,0.026336,0.03212786,0.0111616,--,No,6
d2,0.012481,0.03033233,0.01439684,--,No,6
e2,0.023924,0.02846806,0.01096378,--,No,6
a2,-0.000685,0.001105498,0.0004322719,--,Yes,6
k2,-0.00477,0.0002270624,7.633983e-05,--,Yes,6
sig,0.001034,0.0001731618,6.175354e-05,--,Yes,6
b1,0.001341,9.844264e-05,4.206293e-05,--,Yes,6
c3,0.000213,2.823339e-05,1.091126e-05,--,Yes,6
b2,0.000232,2.499133e-05,1.110684e-05,--,Yes,6
e1,0.000358,2.400091e-05,9.765732e-06,--,Yes,6
sig2,0.0007,4.785735e-06,1.970042e-06,--,Yes,6
d1,0.000125,3.631351e-07,1.561174e-07,--,Yes,6
k3,0.290798,0.2889947,0.05494992,--,No,8
k5,0.249694,0.2446604,0.05046386,--,No,8
e3,0.119072,0.1286527,0.02846356,--,No,8
c1,0.083779,0.08284218,0.01962804,--,No,8
k1,0.047554,0.06070298,0.01529954,--,No,8
c2,0.061923,0.05881762,0.01267812,--,No,8
a1,0.041741,0.0468263,0.009952228,--,No,8
d2,0.03079,0.03112105,0.006625493,--,No,8
k4,0.029532,0.03107558,0.006679002,--,No,8
e2,0.027707,0.03041483,0.006162889,--,No,8
